140.206.211.0/24,['140.206.211.31']
113.215.224.0/24,['113.215.224.121']
30.250.11.0/24,['30.250.11.135']
180.166.113.0/24,['180.166.113.121']
140.207.228.0/24,"['140.207.228.45', '140.207.228.187', '140.207.228.6']"
218.244.111.0/24,"['218.244.111.195', '218.244.111.197']"
101.226.248.0/24,"['101.226.248.130', '101.226.248.18', '101.226.248.1', '101.226.248.25']"
118.89.206.0/24,['118.89.206.133']
180.166.109.0/24,"['180.166.109.197', '180.166.109.201']"
210.13.114.0/24,"['210.13.114.80', '210.13.114.39']"
221.6.196.0/24,['221.6.196.51']
114.80.10.0/24,"['114.80.10.31', '114.80.10.85', '114.80.10.7']"
112.64.124.0/24,"['112.64.124.249', '112.64.124.244', '112.64.124.236']"
