alpha.yunjiweidian.com,['30.250.11.135']
domain,IP
st.yunjiweidian.com,['101.37.106.50']
auth.yunjiweidian.com,['120.55.238.159']
sip.yunjiweidian.com,['42.159.162.44']
m.yunjiweidian.com,['120.55.238.159']
monitor.yunjiweidian.com,['101.37.224.24']
food.yunjiweidian.com,['30.250.11.135']
vpn2.yunjiweidian.com,['30.250.11.135']
api.yunjiweidian.com,['101.37.224.24']
www.yunjiweidian.com,['47.98.38.16']
msoid.yunjiweidian.com,['42.159.160.36']
extranet.yunjiweidian.com,['30.250.11.135']
t.yunjiweidian.com,['120.55.238.159']
py.yunjiweidian.com,['30.250.11.135']
report.yunjiweidian.com,['114.55.36.227']
oa.yunjiweidian.com,['116.62.118.202']
book.yunjiweidian.com,['115.238.94.231']
data.yunjiweidian.com,['120.55.238.159']
sso.yunjiweidian.com,"['114.55.188.141', '120.55.149.85']"
pic.yunjiweidian.com,['120.55.238.159']
image.yunjiweidian.com,"['113.215.225.31', '113.215.225.32', '113.215.225.29', '113.215.225.97', '113.215.225.28', '113.215.225.96', '113.215.225.33', '113.215.225.30']"
dj.yunjiweidian.com,['120.27.216.90']
fax.yunjiweidian.com,['30.250.11.135']
office.yunjiweidian.com,['42.159.233.91']
autodiscover.yunjiweidian.com,"['42.159.33.168', '42.159.161.152', '42.159.33.136', '42.159.161.184']"
lyncdiscover.yunjiweidian.com,['42.159.34.45']
static.yunjiweidian.com,"['119.84.3.114', '119.84.3.111', '119.84.3.26', '119.84.3.110', '119.84.3.23', '119.84.3.115', '119.84.3.112', '119.84.3.113']"
p.yunjiweidian.com,['180.97.162.205']
mail.yunjiweidian.com,"['42.159.163.130', '42.159.163.194', '42.159.40.66', '42.159.40.2']"
titan.yunjiweidian.com,['101.37.224.24']
a.yunjiweidian.com,['120.55.238.159']
